Incident_ID,Audio_Event,PDF_Doc_Type,Image_Objects,Video_Event,Text_Crime_Type,Severity,Sources_Available,Modality_Count,AI_Summary
INC_012,Road accident / collision,Training Proposal,"3 fires, 2 persons (0.66)",Loitering,Law Enforcement / Policing,Medium,Audio + PDF + Image + Video + Text,5,The report provides a comprehensive overview of the various types of crime incidents in the United States.
INC_013,Unknown incident,Lesson Plan,"fire, smoke (0.74)",Loitering,Law Enforcement / Policing,Medium,Audio + PDF + Image + Video + Text,5,A report of a multimodal crime incident in the United States.
INC_014,Shooting / gunfire,Training Proposal,"fire, smoke, traffic light (0.77)",Loitering,Assault / Violence,High,Audio + PDF + Image + Video + Text,5,"A report of a shooting / gunfire incident in the United States, a Loitering / Text crime incident, and an Assault / Violence incident."
INC_015,Unknown incident,Training Proposal,"fire, cat (0.72)",Normal activity,Law Enforcement / Policing,Medium,Audio + PDF + Image + Video + Text,5,A report of a multimodal crime incident in the United States.
INC_016,Shooting / gunfire,Lesson Plan,"fire, person (0.45)",Loitering,Law Enforcement / Policing,Medium,Audio + PDF + Image + Video + Text,5,A report of a shooting / gunfire incident in the United States.
INC_017,Building fire / trapped persons,Training Proposal,"fire, 3 smokes (0.95)",Normal activity,Public Disturbance,Medium,Audio + PDF + Image + Video + Text,5,A report of a building fire / trapped persons incident.
INC_018,Shooting / gunfire,Training Proposal,none (0.03),Loitering,Public Disturbance,Medium,Audio + PDF + Image + Video + Text,5,A report of a shooting / gunfire incident in the United States.
INC_019,Unknown incident,Lesson Plan,"chair, 2 tvs, traffic light (0.39)",Loitering,Public Disturbance,Low,Audio + PDF + Image + Video + Text,5,"A report of a crime incident in the city of San Francisco, California, in which a chair, 2 tvs, traffic light, and a traffic light were detected."
INC_020,Assault / fighting,Training Proposal,bus (0.40),Loitering,Drug Crime,Medium,Audio + PDF + Image + Video + Text,5,"A report of a multimodal crime incident involving a bus, assault / fighting, and drug trafficking."
INC_021,Robbery / theft,Lesson Plan,"fire, 2 smokes (0.35)",Aggressive posturing,Public Disturbance,Medium,Audio + PDF + Image + Video + Text,5,The report provides a comprehensive overview of a variety of crime incidents in the United States.
INC_022,Unknown incident,Training Proposal,6 fires (0.97),Aggressive posturing,Drug Crime,Medium,Audio + PDF + Image + Video + Text,5,A report of a multimodal crime incident in the United States.
INC_023,Road accident / collision,Training Proposal,"3 cars, truck (0.58)",Aggressive posturing,Public Disturbance,Medium,Audio + PDF + Image + Video + Text,5,"A report of a road accident / collision, a violent posturing incident, and a public disturbance."
INC_024,Breaking and entering,Training Proposal,"2 dining tables, chair (0.38)",Fighting,Public Disturbance,Low,Audio + PDF + Image + Video + Text,5,A report of a multimodal crime incident in the United States.
INC_025,Unknown incident,Lesson Plan,"fire, person, 3 chairs, 3 dining tables, clock (0.52)",Aggressive posturing,Law Enforcement / Policing,Medium,Audio + PDF + Image + Video + Text,5,The report provides a comprehensive overview of the crime incidents in the United States.
INC_026,Building fire / trapped persons,SOP,"fire, smoke, 4 persons (0.61)",Aggressive posturing,Robbery / Theft,High,Audio + PDF + Image + Video + Text,5,"A report of a multimodal crime incident in the United States, including a building fire / trapped persons, a robbery, and a theft."
INC_027,Unknown incident,Training Proposal,tv (0.83),Aggressive posturing,Law Enforcement / Policing,Medium,Audio + PDF + Image + Video + Text,5,A report of a multimodal crime incident in the United States.
INC_028,Shooting / gunfire,Policy Document,2 persons (0.92),Aggressive posturing,Law Enforcement / Policing,High,Audio + PDF + Image + Video + Text,5,"A report of a shooting / gunfire incident in the United States, a violent posturing incident, and an aggressive posturing crime."
INC_029,Unknown incident,Training Proposal,"fire, smoke, 3 persons (0.61)",Aggressive posturing,Law Enforcement / Policing,Medium,Audio + PDF + Image + Video + Text,5,"A report of a multimodal crime incident in the United States, including a fire, smoke, and 3 persons (0.61)."
INC_030,Road accident / collision,Training Proposal,fire (0.35),Aggressive posturing,Law Enforcement / Policing,Medium,Audio + PDF + Image + Video + Text,5,"A report of a road accident / collision, a violent posturing incident, and a fatal accident."
INC_031,Building fire / trapped persons,Training Proposal,"fire, vase (0.89)",Aggressive posturing,Law Enforcement / Policing,Medium,Audio + PDF + Image + Video + Text,5,A report of a multimodal crime incident in the United States.
INC_032,Building fire / trapped persons,Training Proposal,"fire, smoke (0.94)",Aggressive posturing,Law Enforcement / Policing,High,Audio + PDF + Image + Video + Text,5,"A report of a multimodal crime incident in the United States, including a building fire / trapped persons, a violent posturing incident, and a homicide."
INC_033,Building fire / trapped persons,Training Proposal,"fire, 2 smokes, tv (0.82)",Aggressive posturing,Law Enforcement / Policing,Medium,Audio + PDF + Image + Video + Text,5,A report of a multimodal crime incident in the United States.
INC_034,Medical emergency,Equipment Request,none (0.11),Aggressive posturing,Shooting,Medium,Audio + PDF + Image + Video + Text,5,The report provides a detailed description of a multimodal crime incident in the United States.
INC_035,Assault / fighting,Equipment Request,"smoke, 2 persons, 4 cars, truck (0.42)",Aggressive posturing,Law Enforcement / Policing,Low,Audio + PDF + Image + Video + Text,5,"The report provides a detailed description of the incidents, including a description of each incident, and a summary of key findings."
INC_036,Robbery / theft,Training Proposal,3 fires (0.95),Aggressive posturing,Law Enforcement / Policing,Medium,Audio + PDF + Image + Video + Text,5,A report of a multimodal crime incident in the United States.
INC_037,Unknown incident,Training Proposal,smoke (0.38),Aggressive posturing,Law Enforcement / Policing,Low,Audio + PDF + Image + Video + Text,5,"The report provides a detailed description of the incidents, including a brief description of each incident, and a description of key findings."
INC_038,Breaking and entering,Training Proposal,fire (0.96),Aggressive posturing,Law Enforcement / Policing,Medium,Audio + PDF + Image + Video + Text,5,A multimodal crime incident report is compiled from multiple sources and summarizes key findings.
INC_039,Shooting / gunfire,Lesson Plan,"2 fires, smoke (0.46)",Fighting,Law Enforcement / Policing,Medium,Audio + PDF + Image + Video + Text,5,A report of a shooting / gunfire incident in the United States.
INC_040,Road accident / collision,Training Proposal,"2 fires, 2 smokes (0.93)",Aggressive posturing,Law Enforcement / Policing,Medium,Audio + PDF + Image + Video + Text,5,"A report of a road accident / collision, a violent posturing incident, and a text crime."
INC_041,Unknown incident,Training Proposal,"fire, person, horse (0.59)",Fighting,Law Enforcement / Policing,Medium,Audio + PDF + Image + Video + Text,5,A report of a multimodal crime incident in the United States.
INC_042,Shooting / gunfire,Training Proposal,none (0.03),Aggressive posturing,Law Enforcement / Policing,Low,Audio + PDF + Image + Video + Text,5,A report of a shooting / gunfire incident in the United States.
INC_043,Building fire / trapped persons,Training Proposal,"fire, bus (0.68)",Aggressive posturing,Assault / Violence,Medium,Audio + PDF + Image + Video + Text,5,"A report of a multimodal crime incident in the United States, including a building fire / trapped persons incident, a violent posturing incident, and an assault / violence incident."
INC_044,Medical emergency,Training Proposal,"fire, 2 smokes (0.97)",Aggressive posturing,Assault / Violence,Medium,Audio + PDF + Image + Video + Text,5,A report of a multimodal crime incident in the United States.
INC_045,Unknown incident,Training Proposal,"3 persons, bench, 6 bicycles (0.59)",Fighting,Shooting,Medium,Audio + PDF + Image + Video + Text,5,The report provides a detailed description of the crime scene and the key findings from each source.
INC_046,Unknown incident,No police report filed,none (0.08),Aggressive posturing,Assault / Violence,Low,Audio + Image + Video + Text,4,A report of a crime incident in the United States.
INC_047,Unknown incident,No police report filed,"fire, 6 persons (1.00)",Fighting,Law Enforcement / Policing,Medium,Audio + Image + Video + Text,4,"A report of a multimodal crime incident in the United States, including a fire, 6 persons, and a fighting incident."
INC_048,Road accident / collision,No police report filed,"fire, person, fire hydrant (0.96)",Fighting,Law Enforcement / Policing,High,Audio + Image + Video + Text,4,A report of a road accident / collision in the United States.
INC_049,Unknown incident,No police report filed,person (0.72),Aggressive posturing,Law Enforcement / Policing,Medium,Audio + Image + Video + Text,4,The report provides a detailed description of a crime incident in the United States.
INC_050,Unknown incident,No police report filed,"smoke, car (0.30)",Aggressive posturing,Law Enforcement / Policing,Low,Audio + Image + Video + Text,4,A report of a low-level crime incident in the United States.
INC_051,Robbery / theft,No police report filed,"smoke, person, car, truck (0.80)",Fighting,Law Enforcement / Policing,Medium,Audio + Image + Video + Text,4,A report of a multimodal crime incident in the United States.
INC_052,Shooting / gunfire,No police report filed,"fire, 2 persons (0.53)",Aggressive posturing,Shooting,High,Audio + Image + Video + Text,4,A report of a shooting and shooting incident in the United States.
INC_053,Medical emergency,No police report filed,"2 persons, 2 cars, bus, truck, bicycle (0.48)",Aggressive posturing,Law Enforcement / Policing,Medium,Audio + Image + Video + Text,4,"A report of a multimodal crime incident involving two persons, two cars, a bus, and a truck."
INC_054,Unknown incident,No police report filed,fire (0.97),Aggressive posturing,Public Disturbance,Medium,Audio + Image + Video + Text,4,"A report of a violent crime incident in the United States, including a fire and a posturing incident."
INC_055,Unknown incident,No police report filed,"fire, smoke, car, truck (0.64)",Aggressive posturing,Assault / Violence,Medium,Audio + Image + Video + Text,4,A report of a violent crime incident in the United States.
INC_056,Unknown incident,No police report filed,fire (0.55),Aggressive posturing,Assault / Violence,Medium,Audio + Image + Video + Text,4,"The report identifies a number of crime incidents in the United States, including a series of violent assassinations."
INC_057,Shooting / gunfire,No police report filed,"3 fires, person (0.82)",Aggressive posturing,Sexual Assault,High,Audio + Image + Video + Text,4,"A report of a shooting / gunfire incident in the city of San Francisco, California."
INC_058,Assault / fighting,No police report filed,fire (0.98),Aggressive posturing,Law Enforcement / Policing,High,Audio + Image + Video + Text,4,The report identifies a high-level crime incident in the United States.
INC_059,Assault / fighting,No police report filed,fire (0.91),Aggressive posturing,Public Disturbance,Medium,Audio + Image + Video + Text,4,The report identifies a series of incidents involving violent and aggressive posturing.
INC_060,Building fire / trapped persons,No police report filed,"fire, smoke (0.98)",Aggressive posturing,Public Disturbance,High,Audio + Image + Video + Text,4,A report of a multimodal crime incident in New York City.
INC_061,Medical emergency,No police report filed,"person, truck (0.95)",Aggressive posturing,Law Enforcement / Policing,High,Audio + Image + Video + Text,4,"A report of a multimodal crime incident in the United States, including a medical emergency, a violent posturing incident, and a vehicle accident."
INC_062,Unknown incident,No police report filed,"11 chairs, refrigerator, dining table (0.46)",Aggressive posturing,Public Disturbance,Low,Audio + Image + Video + Text,4,A report of a low-level crime incident in the United States.
INC_063,Shooting / gunfire,No police report filed,"smoke, book (0.38)",Aggressive posturing,Murder / Homicide,High,Audio + Image + Video + Text,4,"A report of a shooting / gunfire incident in the city of San Francisco, California."
INC_064,Assault / fighting,No police report filed,"2 fires, smoke (0.96)",Aggressive posturing,Law Enforcement / Policing,Medium,Audio + Image + Video + Text,4,A report of a violent crime incident in the United States.
INC_065,Unknown incident,No police report filed,clock (0.73),Aggressive posturing,Shooting,High,Audio + Image + Video + Text,4,A high-level crime incident report is based on a multimodal crime incident.
INC_066,Unknown incident,No police report filed,"fire, smoke (0.41)",Fighting,Shooting,High,Audio + Image + Video + Text,4,The report identifies a shooting at a convenience store.
INC_067,Medical emergency,No police report filed,8 bottles (0.40),Aggressive posturing,Shooting,Medium,Audio + Image + Video + Text,4,The report provides a detailed description of a shooting incident at a convenience store.
INC_068,Shooting / gunfire,No police report filed,person (0.78),Aggressive posturing,Shooting,High,Audio + Image + Video + Text,4,A report of a shooting / gunfire incident in the United States.
INC_069,Road accident / collision,No police report filed,2 fires (0.54),Aggressive posturing,Law Enforcement / Policing,Medium,Audio + Image + Video + Text,4,"A report of a road accident / collision, a violent posturing incident, and a post-mortem examination."
INC_070,Road accident / collision,No police report filed,2 fires (0.94),Aggressive posturing,Shooting,High,Audio + Image + Video + Text,4,"A report of a road accident / collision, a violent posturing, and a shooting."
INC_071,Shooting / gunfire,No police report filed,2 smokes (0.68),Aggressive posturing,Law Enforcement / Policing,Medium,Audio + Image + Video + Text,4,A report of a shooting / gunfire incident at a local police station in the United States.
INC_072,Assault / fighting,No police report filed,"fire, 2 smokes (0.97)",Aggressive posturing,Drug Crime,High,Audio + Image + Video + Text,4,A report of a drug crime incident in the United States.
INC_073,Unknown incident,No police report filed,"chair, 2 cars (0.39)",Aggressive posturing,Law Enforcement / Policing,Medium,Audio + Image + Video + Text,4,"A report of a crime incident in the United States, including a chair, two cars, and a violent posturing."
INC_074,Unknown incident,No police report filed,"fire, 2 smokes (0.96)",Aggressive posturing,Shooting,High,Audio + Image + Video + Text,4,The report identifies a high-profile shooting in the United States.
INC_075,Unknown incident,No police report filed,"fire, smoke (0.96)",Aggressive posturing,Law Enforcement / Policing,Medium,Audio + Image + Video + Text,4,"A report of a crime incident in the United States, including a fire, smoke (0.96) and a text crime."
INC_076,Shooting / gunfire,No police report filed,fire (0.75),Aggressive posturing,Drug Crime,High,Audio + Image + Video + Text,4,A report of a shooting / gunfire incident in a drug-trafficking area in the United States.
INC_077,Road accident / collision,No police report filed,person (0.72),Aggressive posturing,Law Enforcement / Policing,Medium,Audio + Image + Video + Text,4,"A report of a road accident / collision, a violent posturing incident, and a traffic accident."
INC_078,Unknown incident,No police report filed,"2 fires, refrigerator (0.73)",Aggressive posturing,Law Enforcement / Policing,Medium,Audio + Image + Video + Text,4,"A report of a multimodal crime incident in the United States, including a fire, a refrigerator, and an unidentified incident."
INC_079,Unknown incident,No police report filed,"smoke, car, truck (0.60)",Fighting,Law Enforcement / Policing,Medium,Audio + Image + Video + Text,4,"A report of a multimodal crime incident involving a car, truck, and other vehicles."
INC_080,Shooting / gunfire,No police report filed,"fire, 5 smokes, airplane (0.85)",Aggressive posturing,Law Enforcement / Policing,Medium,Audio + Image + Video + Text,4,A report of a shooting / gunfire incident in the United States.
INC_081,Shooting / gunfire,No police report filed,"fire, smoke (0.97)",Aggressive posturing,Law Enforcement / Policing,High,Audio + Image + Video + Text,4,A report of a shooting / gunfire incident at a local police station in the United States.
INC_082,Shooting / gunfire,No police report filed,"2 fires, smoke, truck (0.78)",Aggressive posturing,Drug Crime,High,Audio + Image + Video + Text,4,A report of a shooting / gunfire incident in a drug-trafficking area of the city.
INC_083,Road accident / collision,No police report filed,"2 chairs, 5 dining tables, clock (0.43)",Aggressive posturing,Drug Crime,Medium,Audio + Image + Video + Text,4,"A report of a road accident / collision in the United States, a drug trafficking incident, and a violent posturing incident."
INC_084,Shooting / gunfire,No police report filed,none (0.02),Aggressive posturing,Drug Crime,Medium,Audio + Image + Video + Text,4,"The report identifies a shooting / gunfire incident, a violent posturing incident, and a drug crime incident."
INC_085,Shooting / gunfire,No police report filed,fire (0.97),Aggressive posturing,Drug Crime,High,Audio + Image + Video + Text,4,A report of a shooting / gunfire incident in a drug-trafficking area in the United States.
INC_086,Building fire / trapped persons,No police report filed,"3 trucks, 4 cars, 2 buss (0.35)",Aggressive posturing,Drug Crime,Medium,Audio + Image + Video + Text,4,A report of a multimodal crime incident involving a building fire / trapped persons.
INC_087,Unknown incident,No police report filed,none (0.04),Aggressive posturing,Drug Crime,Low,Audio + Image + Video + Text,4,The report provides a comprehensive overview of the drug and crime incidents in the United States.
INC_088,Shooting / gunfire,No police report filed,none (0.33),Aggressive posturing,Drug Crime,Medium,Audio + Image + Video + Text,4,A report of a shooting / gunfire incident at a convenience store.
INC_089,Shooting / gunfire,No police report filed,fire (0.69),Aggressive posturing,Law Enforcement / Policing,Medium,Audio + Image + Video + Text,4,A report of a shooting / gunfire incident at a local police station.
INC_090,Assault / fighting,No police report filed,2 fires (0.97),Aggressive posturing,Law Enforcement / Policing,Medium,Audio + Image + Video + Text,4,A report of a violent crime incident in the United States.
INC_091,Road accident / collision,No police report filed,3 chairs (0.80),Aggressive posturing,Law Enforcement / Policing,Medium,Audio + Image + Video + Text,4,"A report of a road accident / collision, a violent posturing incident, and a traffic accident."
INC_092,Breaking and entering,No police report filed,2 persons (0.41),Aggressive posturing,Law Enforcement / Policing,Low,Audio + Image + Video + Text,4,"The report provides a detailed description of the incidents, including a summary of the key findings."
INC_093,Assault / fighting,No police report filed,"fire, person (0.94)",Aggressive posturing,Law Enforcement / Policing,High,Audio + Image + Video + Text,4,A report of a violent crime incident in the United States.
INC_094,Road accident / collision,No police report filed,"person, 3 traffic lights, bottle (0.52)",Aggressive posturing,Public Disturbance,Medium,Audio + Image + Video + Text,4,"A report of a road accident / collision in the city of San Francisco, California."
INC_095,Shooting / gunfire,No police report filed,"fire, 2 smokes (0.39)",Aggressive posturing,Law Enforcement / Policing,Medium,Audio + Image + Video + Text,4,A report of a shooting / gunfire incident at a local police station in the United States.
INC_096,Shooting / gunfire,No police report filed,"3 fires, smoke (0.94)",Aggressive posturing,Drug Crime,High,Audio + Image + Video + Text,4,A report of a shooting / gunfire incident in a drug-trafficking area of the city.
INC_097,Unknown incident,No police report filed,"3 fires, smoke (0.30)",Aggressive posturing,Fraud / White-collar Crime,Low,Audio + Image + Video + Text,4,A report of a crime incident in the United States.
INC_098,Road accident / collision,No police report filed,"fire, smoke (0.95)",Aggressive posturing,Law Enforcement / Policing,Medium,Audio + Image + Video + Text,4,"A report of a road accident / collision, a violent posturing incident, and a post-mortem examination."
INC_099,Unknown incident,No police report filed,"smoke, 2 persons, truck (0.44)",Suspicious object,Law Enforcement / Policing,Low,Audio + Image + Video + Text,4,A report of a single crime incident in the United States.
INC_100,Shooting / gunfire,No police report filed,person (0.27),Suspicious object,Public Disturbance,Medium,Audio + Image + Video + Text,4,"A report of a shooting / gunfire incident at a public place in the city of San Francisco, California."
INC_101,Road accident / collision,No police report filed,No scene photograph available,Suspicious object,Law Enforcement / Policing,Medium,Audio + Video + Text,3,A report of a road accident / collision in the United States.
INC_102,Shooting / gunfire,No police report filed,No scene photograph available,Suspicious object,Law Enforcement / Policing,High,Audio + Video + Text,3,"A report of a shooting / gunfire incident in the city of San Francisco, California."
INC_103,Road accident / collision,No police report filed,No scene photograph available,Suspicious object,Assault / Violence,Medium,Audio + Video + Text,3,A report of a road accident / collision in the United States.
INC_104,Shooting / gunfire,No police report filed,No scene photograph available,Suspicious object,Assault / Violence,High,Audio + Video + Text,3,A report of a shooting / gunfire incident in the United States.
INC_105,Shooting / gunfire,No police report filed,No scene photograph available,Suspicious object,Assault / Violence,High,Audio + Video + Text,3,A report of a shooting / gunfire incident in the United States.
INC_106,Breaking and entering,No police report filed,No scene photograph available,Suspicious object,Law Enforcement / Policing,Low,Audio + Video + Text,3,The report includes a summary of the incidents and a description of the key findings.
INC_107,Unknown incident,No police report filed,No scene photograph available,Suspicious object,Law Enforcement / Policing,Medium,Audio + Video + Text,3,The report provides a detailed description of a multimodal crime incident in the United States.
INC_108,Unknown incident,No police report filed,No scene photograph available,Suspicious object,Public Disturbance,Medium,Audio + Video + Text,3,"A report of a crime incident in the United States, including a homicide, a misdemeanor robbery, and a murder."
INC_109,Assault / fighting,No police report filed,No scene photograph available,Suspicious object,Law Enforcement / Policing,Medium,Audio + Video + Text,3,A report of a multimodal crime incident in the United States.
INC_110,Robbery / theft,No police report filed,No scene photograph available,Suspicious object,Public Disturbance,Medium,Audio + Video + Text,3,A report of a multimodal crime incident in New York City.
INC_111,Unknown incident,No police report filed,No scene photograph available,Suspicious object,Law Enforcement / Policing,Medium,Audio + Video + Text,3,The report includes a description of the crime and a summary of the key findings.
INC_112,Robbery / theft,No police report filed,No scene photograph available,Suspicious object,Law Enforcement / Policing,Medium,Audio + Video + Text,3,A report of a multimodal crime incident in the United States.
INC_113,Shooting / gunfire,No police report filed,No scene photograph available,Suspicious object,Law Enforcement / Policing,Medium,Audio + Video + Text,3,"A report of a shooting / gunfire incident in the city of San Francisco, California."
INC_114,Road accident / collision,No police report filed,No scene photograph available,Suspicious object,No media report found,High,Audio + Video,2,"A report of a road accident / collision, a suspected suspicious object, and a suspicious object."
INC_115,Shooting / gunfire,No police report filed,No scene photograph available,Suspicious object,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in San Francisco, California."
INC_116,Assault / fighting,No police report filed,No scene photograph available,Suspicious object,No media report found,High,Audio + Video,2,A report of a multimodal crime incident in the United States.
INC_117,Building fire / trapped persons,No police report filed,No scene photograph available,Suspicious object,No media report found,High,Audio + Video,2,A report of a building fire / trapped persons incident in New York City.
INC_118,Breaking and entering,No police report filed,No scene photograph available,Suspicious object,No media report found,High,Audio + Video,2,A multimodal crime incident report is being prepared for publication in the United States.
INC_119,Explosion,No police report filed,No scene photograph available,Normal activity,No media report found,High,Audio + Video,2,The report identifies a high-level crime incident that occurred in a residential area of the city of San Francisco.
INC_120,Shooting / gunfire,No police report filed,No scene photograph available,Normal activity,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in the city of San Francisco, California."
INC_121,Shooting / gunfire,No police report filed,No scene photograph available,Normal activity,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in the city of San Francisco, California."
INC_122,Breaking and entering,No police report filed,No scene photograph available,Normal activity,No media report found,High,Audio + Video,2,A multimodal crime incident report is being prepared for publication in the United States.
INC_123,Medical emergency,No police report filed,No scene photograph available,Normal activity,No media report found,High,Audio + Video,2,The report identifies a high-level crime incident in the United States.
INC_124,Shooting / gunfire,No police report filed,No scene photograph available,Normal activity,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in the city of San Francisco, California."
INC_125,Shooting / gunfire,No police report filed,No scene photograph available,Normal activity,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in the city of San Francisco, California."
INC_126,Shooting / gunfire,No police report filed,No scene photograph available,Normal activity,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in the city of San Francisco, California."
INC_127,Road accident / collision,No police report filed,No scene photograph available,Normal activity,No media report found,High,Audio + Video,2,"A report of a road accident / collision, a traffic accident, and a normal activity incident."
INC_128,Road accident / collision,No police report filed,No scene photograph available,Normal activity,No media report found,High,Audio + Video,2,"A report of a road accident / collision, a traffic accident, and a normal activity incident."
INC_129,Building fire / trapped persons,No police report filed,No scene photograph available,Normal walking,No media report found,High,Audio + Video,2,A report of a building fire / trapped persons incident in New York City.
INC_130,Medical emergency,No police report filed,No scene photograph available,Normal walking,No media report found,Medium,Audio + Video,2,"The report includes a medical emergency, a normal walking incident, and a non-media report."
INC_131,Road accident / collision,No police report filed,No scene photograph available,Normal walking,No media report found,High,Audio + Video,2,"A report of a road accident / collision in the city of San Francisco, California."
INC_132,Road accident / collision,No police report filed,No scene photograph available,Normal activity,No media report found,High,Audio + Video,2,"A report of a road accident / collision, a traffic accident, and a normal activity incident."
INC_133,Road accident / collision,No police report filed,No scene photograph available,Normal activity,No media report found,High,Audio + Video,2,"A report of a road accident / collision, a traffic accident, and a normal activity incident."
INC_134,Unknown incident,No police report filed,No scene photograph available,Loitering,No media report found,Medium,Audio + Video,2,"A crime incident report is categorized as a ""medium"" crime incident."
INC_135,Shooting / gunfire,No police report filed,No scene photograph available,Normal activity,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in the city of San Francisco, California."
INC_136,Assault / fighting,No police report filed,No scene photograph available,Normal activity,No media report found,High,Audio + Video,2,A report of a multimodal crime incident in the United States.
INC_137,Road accident / collision,No police report filed,No scene photograph available,Normal activity,No media report found,High,Audio + Video,2,"A report of a road accident / collision, a traffic accident, and a normal activity incident."
INC_138,Unknown incident,No police report filed,No scene photograph available,Normal activity,No media report found,Medium,Audio + Video,2,"A crime incident report is categorized as a ""moderate"" crime incident."
INC_139,Shooting / gunfire,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,A report of a shooting / gunfire incident in New York City.
INC_140,Shooting / gunfire,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in a residential area of the city of San Francisco, California."
INC_141,Unknown incident,No police report filed,No scene photograph available,Person lying down,No media report found,Medium,Audio + Video,2,A person lying down in a public place is a crime that has not been reported in the media.
INC_142,Shooting / gunfire,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in a residential area of the city of San Francisco, California."
INC_143,Shooting / gunfire,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in a residential area of the city of San Francisco, California."
INC_144,Shooting / gunfire,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in a residential area of the city of San Francisco, California."
INC_145,Building fire / trapped persons,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,A report of a building fire / trapped persons incident in New York City.
INC_146,Unknown incident,No police report filed,No scene photograph available,Person lying down,No media report found,Medium,Audio + Video,2,A person lying down in a public place is a crime that has not been reported in the media.
INC_147,Shooting / gunfire,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in a residential area of the city of San Francisco, California."
INC_148,Shooting / gunfire,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in a residential area of the city of San Francisco, California."
INC_149,Shooting / gunfire,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in a residential area of the city of San Francisco, California."
INC_150,Assault / fighting,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,A report of a multimodal crime incident in the United States.
INC_151,Shooting / gunfire,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in a residential area of the city of San Francisco, California."
INC_152,Shooting / gunfire,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in a residential area of the city of San Francisco, California."
INC_153,Shooting / gunfire,No police report filed,No scene photograph available,Person lying down,No media report found,High,Audio + Video,2,"A report of a shooting / gunfire incident in a residential area of the city of San Francisco, California."
